"Date and time","Solar radiation (W/m2)(A1)"
2024-09-05T18:00:00+0900,0
2024-09-05T17:50:00+0900,0
2024-09-05T17:40:00+0900,0
2024-09-05T17:30:00+0900,0
2024-09-05T17:20:00+0900,0
2024-09-05T17:10:00+0900,0
2024-09-05T17:00:00+0900,0
2024-09-05T16:50:00+0900,0
2024-09-05T16:40:00+0900,0
2024-09-05T16:30:00+0900,0
2024-09-05T16:20:00+0900,0
2024-09-05T16:10:00+0900,0
2024-09-05T16:00:00+0900,0
2024-09-05T15:50:00+0900,0
2024-09-05T15:40:00+0900,0
2024-09-05T15:30:00+0900,0
2024-09-05T15:20:00+0900,0
2024-09-05T15:10:00+0900,0
2024-09-05T15:00:00+0900,0
2024-09-05T14:50:00+0900,0
2024-09-05T14:40:00+0900,0
2024-09-05T14:30:00+0900,0
2024-09-05T14:20:00+0900,0
2024-09-05T14:10:00+0900,0
2024-09-05T14:00:00+0900,0
2024-09-05T13:50:00+0900,0
2024-09-05T13:40:00+0900,0
2024-09-05T13:30:00+0900,0
2024-09-05T13:20:00+0900,0
2024-09-05T13:10:00+0900,0
2024-09-05T13:00:00+0900,0
2024-09-05T12:50:00+0900,0
2024-09-05T12:40:00+0900,0
2024-09-05T12:30:00+0900,0
2024-09-05T12:20:00+0900,0
2024-09-05T12:10:00+0900,0
2024-09-05T12:00:00+0900,0
2024-09-05T11:50:00+0900,0
2024-09-05T11:40:00+0900,0
2024-09-05T11:30:00+0900,0
2024-09-05T11:20:00+0900,0
2024-09-05T11:10:00+0900,0
2024-09-05T11:00:00+0900,0
2024-09-05T10:50:00+0900,0
2024-09-05T10:40:00+0900,0
2024-09-05T10:30:00+0900,0
2024-09-05T10:20:00+0900,0
2024-09-05T10:10:00+0900,0
2024-09-05T10:00:00+0900,0
2024-09-05T09:50:00+0900,0
2024-09-05T09:40:00+0900,0
2024-09-05T09:30:00+0900,0
2024-09-05T09:20:00+0900,0
2024-09-05T09:10:00+0900,0
2024-09-05T09:00:00+0900,0
2024-09-05T08:50:00+0900,0
2024-09-05T08:40:00+0900,0
2024-09-05T08:30:00+0900,0
2024-09-05T08:20:00+0900,0
2024-09-05T08:10:00+0900,0
2024-09-05T08:00:00+0900,0
2024-09-05T07:50:00+0900,0
2024-09-05T07:40:00+0900,0
2024-09-05T07:30:00+0900,0
2024-09-05T07:20:00+0900,0
2024-09-05T07:10:00+0900,0
2024-09-05T07:00:00+0900,0
2024-09-05T06:50:00+0900,0
2024-09-05T06:40:00+0900,0
2024-09-05T06:30:00+0900,0
2024-09-05T06:20:00+0900,0
2024-09-05T06:10:00+0900,0
2024-09-05T06:00:00+0900,4
2024-09-05T05:50:00+0900,2
2024-09-05T05:40:00+0900,2
2024-09-05T05:30:00+0900,2
2024-09-05T05:20:00+0900,18
2024-09-05T05:10:00+0900,6
2024-09-05T05:00:00+0900,2
2024-09-05T04:50:00+0900,0
2024-09-05T04:40:00+0900,0
2024-09-05T04:30:00+0900,4
2024-09-05T04:20:00+0900,2
2024-09-05T04:10:00+0900,0
2024-09-05T04:00:00+0900,0
2024-09-05T03:50:00+0900,0
2024-09-05T03:40:00+0900,0
2024-09-05T03:30:00+0900,2
2024-09-05T03:20:00+0900,0
2024-09-05T03:10:00+0900,0
2024-09-05T03:00:00+0900,6
2024-09-05T02:50:00+0900,22
2024-09-05T02:40:00+0900,66
2024-09-05T02:30:00+0900,14
2024-09-05T02:20:00+0900,6
2024-09-05T02:10:00+0900,20
2024-09-05T02:00:00+0900,70
2024-09-05T01:50:00+0900,126
2024-09-05T01:40:00+0900,6
2024-09-05T01:30:00+0900,44
2024-09-05T01:20:00+0900,38
2024-09-05T01:10:00+0900,52
2024-09-05T01:00:00+0900,246
2024-09-05T00:50:00+0900,10
2024-09-05T00:40:00+0900,4
2024-09-05T00:30:00+0900,4
2024-09-05T00:20:00+0900,18
2024-09-05T00:10:00+0900,32
2024-09-05T00:00:00+0900,8
2024-09-04T23:50:00+0900,2
2024-09-04T23:40:00+0900,2
2024-09-04T23:30:00+0900,2
2024-09-04T23:20:00+0900,18
2024-09-04T23:10:00+0900,12
2024-09-04T23:00:00+0900,46
2024-09-04T22:50:00+0900,22
2024-09-04T22:40:00+0900,18
2024-09-04T22:30:00+0900,6
2024-09-04T22:20:00+0900,2
2024-09-04T22:10:00+0900,2
2024-09-04T22:00:00+0900,4
2024-09-04T21:50:00+0900,4
2024-09-04T21:40:00+0900,8
2024-09-04T21:30:00+0900,54
2024-09-04T21:20:00+0900,40
2024-09-04T21:10:00+0900,82
2024-09-04T21:00:00+0900,274
2024-09-04T20:50:00+0900,346
2024-09-04T20:40:00+0900,262
2024-09-04T20:30:00+0900,182
2024-09-04T20:20:00+0900,78
2024-09-04T20:10:00+0900,104
2024-09-04T20:00:00+0900,66
2024-09-04T19:50:00+0900,52
2024-09-04T19:40:00+0900,58
2024-09-04T19:30:00+0900,30
2024-09-04T19:20:00+0900,16
2024-09-04T19:10:00+0900,8
2024-09-04T19:00:00+0900,4
2024-09-04T18:50:00+0900,2
2024-09-04T18:40:00+0900,0
2024-09-04T18:30:00+0900,0
2024-09-04T18:20:00+0900,0
2024-09-04T18:10:00+0900,0
2024-09-04T18:00:00+0900,0
2024-09-04T17:50:00+0900,0
2024-09-04T17:40:00+0900,0
2024-09-04T17:30:00+0900,0
2024-09-04T17:20:00+0900,0
2024-09-04T17:10:00+0900,0
2024-09-04T17:00:00+0900,0
2024-09-04T16:50:00+0900,0
2024-09-04T16:40:00+0900,0
2024-09-04T16:30:00+0900,0
2024-09-04T16:20:00+0900,0
2024-09-04T16:10:00+0900,0
2024-09-04T16:00:00+0900,0
2024-09-04T15:50:00+0900,0
2024-09-04T15:40:00+0900,0
2024-09-04T15:30:00+0900,0
2024-09-04T15:20:00+0900,0
2024-09-04T15:10:00+0900,0
2024-09-04T15:00:00+0900,0
2024-09-04T14:50:00+0900,0
2024-09-04T14:40:00+0900,0
2024-09-04T14:30:00+0900,0
2024-09-04T14:20:00+0900,0
2024-09-04T14:10:00+0900,0
2024-09-04T14:00:00+0900,0
2024-09-04T13:50:00+0900,0
2024-09-04T13:40:00+0900,0
2024-09-04T13:30:00+0900,0
2024-09-04T13:20:00+0900,0
2024-09-04T13:10:00+0900,0
2024-09-04T13:00:00+0900,0
2024-09-04T12:50:00+0900,0
2024-09-04T12:40:00+0900,0
2024-09-04T12:30:00+0900,0
2024-09-04T12:20:00+0900,0
2024-09-04T12:10:00+0900,0
2024-09-04T12:00:00+0900,0
2024-09-04T11:50:00+0900,0
2024-09-04T11:40:00+0900,0
2024-09-04T11:30:00+0900,0
2024-09-04T11:20:00+0900,0
2024-09-04T11:10:00+0900,0
2024-09-04T11:00:00+0900,0
2024-09-04T10:50:00+0900,0
2024-09-04T10:40:00+0900,0
2024-09-04T10:30:00+0900,0
2024-09-04T10:20:00+0900,0
2024-09-04T10:10:00+0900,0
2024-09-04T10:00:00+0900,0
2024-09-04T09:50:00+0900,0
2024-09-04T09:40:00+0900,0
2024-09-04T09:30:00+0900,0
2024-09-04T09:20:00+0900,0
2024-09-04T09:10:00+0900,0
2024-09-04T09:00:00+0900,0
2024-09-04T08:50:00+0900,0
2024-09-04T08:40:00+0900,0
2024-09-04T08:30:00+0900,0
2024-09-04T08:20:00+0900,0
2024-09-04T08:10:00+0900,0
2024-09-04T08:00:00+0900,0
2024-09-04T07:50:00+0900,0
2024-09-04T07:40:00+0900,0
2024-09-04T07:30:00+0900,0
2024-09-04T07:20:00+0900,0
2024-09-04T07:10:00+0900,0
2024-09-04T07:00:00+0900,0
2024-09-04T06:50:00+0900,0
2024-09-04T06:40:00+0900,0
2024-09-04T06:30:00+0900,0
2024-09-04T06:20:00+0900,4
2024-09-04T06:10:00+0900,14
2024-09-04T06:00:00+0900,22
2024-09-04T05:50:00+0900,26
2024-09-04T05:40:00+0900,42
2024-09-04T05:30:00+0900,54
2024-09-04T05:20:00+0900,78
2024-09-04T05:10:00+0900,126
2024-09-04T05:00:00+0900,142
2024-09-04T04:50:00+0900,174
2024-09-04T04:40:00+0900,194
2024-09-04T04:30:00+0900,224
2024-09-04T04:20:00+0900,248
2024-09-04T04:10:00+0900,246
2024-09-04T04:00:00+0900,262
2024-09-04T03:50:00+0900,286
2024-09-04T03:40:00+0900,380
2024-09-04T03:30:00+0900,396
2024-09-04T03:20:00+0900,424
2024-09-04T03:10:00+0900,442
2024-09-04T03:00:00+0900,504
2024-09-04T02:50:00+0900,546
2024-09-04T02:40:00+0900,570
2024-09-04T02:30:00+0900,628
2024-09-04T02:20:00+0900,658
2024-09-04T02:10:00+0900,670
2024-09-04T02:00:00+0900,688
2024-09-04T01:50:00+0900,708
2024-09-04T01:40:00+0900,716
2024-09-04T01:30:00+0900,726
2024-09-04T01:20:00+0900,726
2024-09-04T01:10:00+0900,746
2024-09-04T01:00:00+0900,742
2024-09-04T00:50:00+0900,746
2024-09-04T00:40:00+0900,738
2024-09-04T00:30:00+0900,746
2024-09-04T00:20:00+0900,744
2024-09-04T00:10:00+0900,734
2024-09-04T00:00:00+0900,730
